color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(207, 1, 0)","(210, 0, 1)","(77, 59, -2)","(77, 59, -2)",3.31662479036,0.0
"(207, 1, 0)","(211, 0, 1)","(77, 59, -2)","(77, 59, -2)",4.24264068712,0.0
"(207, 2, 0)","(211, 0, 0)","(78, 59, -2)","(78, 59, -2)",4.472135955,0.0
"(207, 2, 0)","(212, 0, 1)","(78, 59, -2)","(78, 59, -2)",5.47722557505,0.0
"(207, 3, 0)","(215, 0, 1)","(79, 60, -2)","(79, 60, -2)",8.60232526704,0.0
"(207, 4, 0)","(216, 0, 1)","(79, 61, -2)","(79, 61, -2)",9.89949493661,0.0
"(207, 4, 0)","(217, 0, 1)","(79, 61, -2)","(79, 61, -2)",10.8166538264,0.0
"(207, 5, 0)","(218, 0, 1)","(80, 61, -2)","(80, 61, -2)",12.124355653,0.0
"(207, 5, 0)","(219, 0, 1)","(80, 61, -2)","(80, 61, -2)",13.0384048104,0.0
"(207, 6, 0)","(220, 0, 1)","(81, 62, -2)","(81, 62, -2)",14.3527000944,0.0
"(207, 6, 0)","(221, 0, 1)","(81, 62, -2)","(81, 62, -2)",15.2643375225,0.0
"(207, 6, 0)","(222, 0, 1)","(81, 62, -2)","(81, 62, -2)",16.1864140562,0.0
"(207, 7, 0)","(223, 0, 1)","(82, 63, -2)","(82, 63, -2)",17.4928556845,0.0
"(207, 7, 0)","(224, 0, 1)","(82, 63, -2)","(82, 63, -2)",18.4119526395,0.0
"(207, 7, 0)","(225, 0, 1)","(82, 63, -2)","(82, 63, -2)",19.3390796058,0.0
"(207, 8, 0)","(226, 0, 1)","(83, 63, -2)","(83, 63, -2)",20.6397674406,0.0
"(207, 9, 0)","(228, 0, 1)","(84, 64, -2)","(84, 64, -2)",22.8691932521,0.0
"(207, 9, 0)","(229, 0, 1)","(84, 64, -2)","(84, 64, -2)",23.7907545067,0.0
"(207, 9, 0)","(230, 0, 1)","(84, 64, -2)","(84, 64, -2)",24.7184141886,0.0
"(207, 10, 0)","(231, 0, 1)","(85, 65, -2)","(85, 65, -2)",26.0192236625,0.0
"(207, 10, 0)","(232, 0, 1)","(85, 65, -2)","(85, 65, -2)",26.9443871706,0.0
"(207, 10, 0)","(233, 0, 1)","(85, 65, -2)","(85, 65, -2)",27.8747197295,0.0
"(207, 12, 0)","(234, 0, 1)","(86, 66, -2)","(86, 66, -2)",29.5634909982,0.0
"(207, 12, 0)","(235, 0, 1)","(86, 66, -2)","(86, 66, -2)",30.4795013083,0.0
"(207, 12, 0)","(236, 0, 1)","(86, 66, -2)","(86, 66, -2)",31.4006369362,0.0
"(207, 13, 0)","(238, 0, 1)","(87, 67, -2)","(87, 67, -2)",33.6303434416,0.0
"(207, 14, 0)","(239, 0, 1)","(88, 67, -2)","(88, 67, -2)",34.9428104193,0.0
"(207, 14, 0)","(240, 0, 1)","(88, 67, -2)","(88, 67, -2)",35.8608421541,0.0
"(207, 15, 0)","(242, 0, 1)","(89, 68, -2)","(89, 68, -2)",38.0919939095,0.0
"(207, 15, 0)","(243, 0, 1)","(89, 68, -2)","(89, 68, -2)",39.0128184063,0.0
"(207, 15, 0)","(244, 0, 1)","(89, 68, -2)","(89, 68, -2)",39.9374510954,0.0
"(207, 16, 0)","(245, 0, 1)","(90, 69, -2)","(90, 69, -2)",41.2431812546,0.0
"(207, 16, 0)","(246, 0, 1)","(90, 69, -2)","(90, 69, -2)",42.1663372846,0.0
