color1,color2,distance
"(3, 221, 0)","(0, 221, 0)",3.0
"(3, 221, 0)","(0, 222, 0)",3.16227766017
"(3, 222, 0)","(0, 222, 0)",3.0
"(3, 222, 0)","(0, 223, 0)",3.16227766017
"(3, 223, 0)","(0, 223, 0)",3.0
"(3, 223, 0)","(0, 224, 0)",3.16227766017
"(3, 224, 0)","(0, 224, 0)",3.0
"(3, 224, 0)","(0, 225, 0)",3.16227766017
"(3, 225, 0)","(0, 225, 0)",3.0
"(3, 225, 0)","(0, 226, 0)",3.16227766017
"(3, 226, 0)","(0, 226, 0)",3.0
"(3, 226, 0)","(0, 227, 0)",3.16227766017
"(3, 227, 0)","(0, 227, 0)",3.0
"(3, 227, 0)","(0, 228, 0)",3.16227766017
"(3, 228, 0)","(0, 228, 0)",3.0
"(3, 228, 0)","(0, 229, 0)",3.16227766017
"(3, 229, 0)","(0, 229, 0)",3.0
"(3, 229, 0)","(0, 230, 0)",3.16227766017
"(3, 230, 0)","(0, 230, 0)",3.0
"(3, 230, 0)","(0, 231, 0)",3.16227766017
"(3, 231, 0)","(0, 231, 0)",3.0
"(3, 231, 0)","(0, 232, 0)",3.16227766017
"(3, 232, 0)","(0, 232, 0)",3.0
"(3, 232, 0)","(0, 233, 0)",3.16227766017
"(3, 233, 0)","(0, 233, 0)",3.0
"(3, 233, 0)","(0, 234, 0)",3.16227766017
"(3, 234, 0)","(0, 234, 0)",3.0
"(3, 234, 0)","(0, 235, 0)",3.16227766017
"(3, 235, 0)","(0, 235, 0)",3.0
"(3, 235, 0)","(0, 236, 0)",3.16227766017
"(3, 236, 0)","(0, 236, 0)",3.0
"(3, 236, 0)","(0, 237, 0)",3.16227766017
"(3, 237, 0)","(0, 237, 0)",3.0
"(3, 237, 0)","(0, 238, 0)",3.16227766017
"(3, 238, 0)","(0, 238, 0)",3.0
"(3, 238, 0)","(0, 239, 0)",3.16227766017
"(3, 239, 0)","(0, 239, 0)",3.0
"(3, 239, 0)","(0, 240, 0)",3.16227766017
"(3, 240, 0)","(0, 240, 0)",3.0
"(3, 240, 0)","(0, 241, 0)",3.16227766017
"(3, 241, 0)","(0, 241, 0)",3.0
"(3, 241, 0)","(0, 242, 0)",3.16227766017
"(3, 242, 0)","(0, 242, 0)",3.0
"(3, 242, 0)","(0, 243, 0)",3.16227766017
"(3, 243, 0)","(0, 243, 0)",3.0
"(3, 243, 0)","(0, 244, 0)",3.16227766017
"(3, 244, 0)","(0, 244, 0)",3.0
"(3, 244, 0)","(0, 245, 0)",3.16227766017
"(3, 245, 0)","(0, 245, 0)",3.0
"(3, 245, 0)","(0, 246, 0)",3.16227766017
"(3, 246, 0)","(0, 246, 0)",3.0
"(3, 246, 0)","(0, 247, 0)",3.16227766017
"(3, 247, 0)","(0, 247, 0)",3.0
"(3, 247, 0)","(0, 248, 0)",3.16227766017
"(3, 248, 0)","(0, 248, 0)",3.0
"(3, 248, 0)","(0, 249, 0)",3.16227766017
