color1,color2,transformed_color1,transformed_color2,distance,transformed_distance
"(3, 142, 0)","(0, 143, 0)","(123, 96, 6)","(123, 96, 6)",3.16227766017,0.0
"(3, 143, 0)","(0, 144, 0)","(124, 97, 6)","(124, 97, 6)",3.16227766017,0.0
"(3, 144, 0)","(0, 145, 0)","(125, 98, 6)","(125, 98, 6)",3.16227766017,0.0
"(3, 145, 0)","(0, 146, 0)","(126, 98, 6)","(126, 98, 6)",3.16227766017,0.0
"(3, 146, 0)","(0, 147, 0)","(127, 99, 6)","(127, 99, 6)",3.16227766017,0.0
"(3, 147, 0)","(0, 149, 0)","(128, 100, 6)","(128, 100, 6)",3.60555127546,0.0
"(3, 148, 0)","(0, 149, 0)","(128, 100, 6)","(128, 100, 6)",3.16227766017,0.0
"(3, 149, 0)","(0, 150, 0)","(129, 101, 6)","(129, 101, 6)",3.16227766017,0.0
"(3, 150, 0)","(0, 151, 0)","(130, 102, 6)","(130, 102, 6)",3.16227766017,0.0
"(3, 153, 0)","(0, 154, 0)","(133, 104, 7)","(133, 104, 7)",3.16227766017,0.0
"(3, 153, 0)","(0, 155, 0)","(133, 104, 7)","(133, 104, 7)",3.60555127546,0.0
"(3, 156, 0)","(0, 157, 0)","(135, 106, 7)","(135, 106, 7)",3.16227766017,0.0
"(3, 157, 0)","(0, 158, 0)","(136, 106, 7)","(136, 106, 7)",3.16227766017,0.0
"(3, 158, 0)","(0, 159, 0)","(137, 107, 7)","(137, 107, 7)",3.16227766017,0.0
"(3, 159, 0)","(0, 160, 0)","(138, 108, 7)","(138, 108, 7)",3.16227766017,0.0
"(3, 160, 0)","(0, 161, 0)","(139, 108, 7)","(139, 108, 7)",3.16227766017,0.0
"(3, 162, 0)","(0, 164, 0)","(141, 110, 7)","(141, 110, 7)",3.60555127546,0.0
"(3, 163, 0)","(0, 164, 0)","(141, 110, 7)","(141, 110, 7)",3.16227766017,0.0
"(3, 164, 0)","(0, 165, 0)","(142, 111, 7)","(142, 111, 7)",3.16227766017,0.0
"(3, 165, 0)","(0, 166, 0)","(143, 112, 7)","(143, 112, 7)",3.16227766017,0.0
"(3, 166, 0)","(0, 167, 0)","(144, 112, 7)","(144, 112, 7)",3.16227766017,0.0
"(3, 167, 0)","(0, 168, 0)","(145, 113, 7)","(145, 113, 7)",3.16227766017,0.0
